Campaign,Keyword,Criterion Type
Search - High Intent,jobs,Broad
Search - High Intent,careers,Broad
Search - High Intent,hiring,Broad
Search - High Intent,employment,Broad
Search - High Intent,salary,Broad
Search - High Intent,free,Broad
Search - High Intent,diy,Broad
Search - High Intent,how to,Broad
Search - High Intent,tips,Broad
Search - High Intent,guide,Broad
Search - High Intent,tutorial,Broad
Search - High Intent,meaning,Broad
Search - High Intent,definition,Broad
Search - High Intent,what is,Broad
Search - High Intent,buy,Broad
Search - High Intent,purchase,Broad
Search - High Intent,for sale,Broad
Search - High Intent,condo,Broad
Search - High Intent,luxury,Broad
Search - High Intent,penthouse,Broad
Search - High Intent,airbnb,Broad
Search - High Intent,hotel,Broad
Search - High Intent,hostel,Broad
Search - High Intent,motel,Broad
Search - High Intent,lease template,Broad
Search - High Intent,lease agreement,Broad
Search - High Intent,cheap,Broad
Search - High Intent,nursing,Broad
Search - High Intent,retirement,Broad
Search - High Intent,senior,Broad
Search - High Intent,coworking,Broad
Search - High Intent,office space,Broad
Search - High Intent,warehouse,Broad
Search - High Intent,commercial,Broad
Search - High Intent,storage,Broad
Search - High Intent,parking,Broad
Search - High Intent,cleaning service,Broad
Search - High Intent,moving company,Broad
Search - High Intent,real estate agent,Broad
Search - High Intent,broker,Broad
Search - High Intent,investment,Broad
Search - High Intent,roi,Broad
Search - High Intent,profit,Broad
Search - High Intent,toronto,Broad
Search - High Intent,vancouver,Broad
Search - High Intent,ottawa,Broad
Search - High Intent,calgary,Broad
Search - Location Specific,jobs,Broad
Search - Location Specific,careers,Broad
Search - Location Specific,hiring,Broad
Search - Location Specific,employment,Broad
Search - Location Specific,salary,Broad
Search - Location Specific,free,Broad
Search - Location Specific,diy,Broad
Search - Location Specific,how to,Broad
Search - Location Specific,tips,Broad
Search - Location Specific,guide,Broad
Search - Location Specific,tutorial,Broad
Search - Location Specific,meaning,Broad
Search - Location Specific,definition,Broad
Search - Location Specific,what is,Broad
Search - Location Specific,buy,Broad
Search - Location Specific,purchase,Broad
Search - Location Specific,for sale,Broad
Search - Location Specific,condo,Broad
Search - Location Specific,luxury,Broad
Search - Location Specific,penthouse,Broad
Search - Location Specific,airbnb,Broad
Search - Location Specific,hotel,Broad
Search - Location Specific,hostel,Broad
Search - Location Specific,motel,Broad
Search - Location Specific,lease template,Broad
Search - Location Specific,lease agreement,Broad
Search - Location Specific,cheap,Broad
Search - Location Specific,nursing,Broad
Search - Location Specific,retirement,Broad
Search - Location Specific,senior,Broad
Search - Location Specific,coworking,Broad
Search - Location Specific,office space,Broad
Search - Location Specific,warehouse,Broad
Search - Location Specific,commercial,Broad
Search - Location Specific,storage,Broad
Search - Location Specific,parking,Broad
Search - Location Specific,cleaning service,Broad
Search - Location Specific,moving company,Broad
Search - Location Specific,real estate agent,Broad
Search - Location Specific,broker,Broad
Search - Location Specific,investment,Broad
Search - Location Specific,roi,Broad
Search - Location Specific,profit,Broad
Search - Location Specific,toronto,Broad
Search - Location Specific,vancouver,Broad
Search - Location Specific,ottawa,Broad
Search - Location Specific,calgary,Broad
